Date,^GSPC,^NDX,^DJI,^KS11,^N225,000001.SS,^HSI,^STOXX50E,^BVSP,^NSEI,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ZC=F,ZW=F,BTC-USD,ETH-USD,DX-Y.NYB,EURUSD=X,USDJPY=X,USDKRW=X,GBPUSD=X,CNY=X
2024-05-29,5266.9501953125,18736.75,38441.5390625,2677.300048828125,38556.87109375,3111.01806640625,18477.009765625,4963.2001953125,122707.0,22704.69921875,2340.300048828125,32.202999114990234,79.2300033569336,83.5999984741211,2.493000030517578,4.805500030517578,455.25,692.75,67578.09375,3763.196533203125,105.0999984741211,1.0851871967315674,157.26199340820312,1362.760009765625,1.275835633277893,7.244999885559082
2024-05-30,5235.47998046875,18538.66015625,38111.48046875,2635.43994140625,38054.12890625,3091.677978515625,18230.189453125,4982.18017578125,,22488.650390625,2342.89990234375,31.38800048828125,77.91000366210938,81.86000061035156,2.572000026702881,4.671999931335449,448.75,681.0,68364.9921875,3746.849609375,104.72000122070312,1.0801819562911987,157.60800170898438,1370.550048828125,1.2697993516921997,7.2494001388549805
2024-05-31,5277.509765625,18536.650390625,38686.3203125,2636.52001953125,38487.8984375,3086.81298828125,18079.609375,4983.669921875,122098.0,22530.69921875,2322.89990234375,30.297000885009766,76.98999786376953,81.62000274658203,2.5869998931884766,4.610000133514404,446.25,678.5,67491.4140625,3760.026611328125,104.66999816894531,1.0835410356521606,156.9530029296875,1375.6199951171875,1.27304208278656,7.233500003814697
2024-06-01,,,,,,,,,,,,,,,,,,,67706.9375,3813.198974609375,,,,,,
2024-06-02,,,,,,,,,,,,,,,,,,,67751.6015625,3780.89599609375,,,,,,
2024-06-03,5283.39990234375,18600.970703125,38571.03125,2682.52001953125,38923.03125,3078.489013671875,18403.0390625,5003.5400390625,122032.0,23263.900390625,2346.60009765625,30.641000747680664,74.22000122070312,78.36000061035156,2.75600004196167,4.677000045776367,443.5,672.75,68804.78125,3766.38916015625,104.13999938964844,1.0853049755096436,157.17999267578125,1382.0999755859375,1.2743724584579468,7.241000175476074
2024-06-04,5291.33984375,18654.83984375,38711.2890625,2662.10009765625,38837.4609375,3091.198974609375,18444.109375,4953.3701171875,121802.0,21884.5,2325.5,29.488000869750977,73.25,77.5199966430664,2.5859999656677246,4.547999858856201,442.5,658.25,70567.765625,3812.515869140625,104.11000061035156,1.0907385349273682,156.0760040283203,1370.7900390625,1.2810165882110596,7.242000102996826
2024-06-05,5354.02978515625,19035.05078125,38807.328125,2689.5,38490.171875,3065.403076171875,18424.9609375,5035.66015625,121407.0,22620.349609375,2354.10009765625,29.947999954223633,74.06999969482422,78.41000366210938,2.756999969482422,4.619500160217285,439.25,646.75,71082.8203125,3864.260986328125,104.2699966430664,1.0881866216659546,155.12399291992188,1373.719970703125,1.2773023843765259,7.242000102996826
2024-06-06,5352.9599609375,19021.189453125,38886.171875,,38703.51171875,3048.7939453125,18476.80078125,5069.08984375,122899.0,22821.400390625,2370.300048828125,31.246999740600586,75.55000305175781,79.87000274658203,2.821000099182129,4.690999984741211,452.0,639.5,70757.1640625,3811.60595703125,104.0999984741211,1.087453007698059,155.9290008544922,1368.739990234375,1.2794759273529053,7.246699810028076
2024-06-07,5346.990234375,19000.94921875,38798.98828125,2722.669921875,38683.9296875,3051.279052734375,18366.94921875,5051.31005859375,120767.0,23290.150390625,2305.199951171875,29.334999084472656,75.52999877929688,79.62000274658203,2.9179999828338623,4.494500160217285,448.75,627.5,69342.5859375,3678.629150390625,104.88999938964844,1.0894432067871094,155.69700622558594,1365.25,1.2793285846710205,7.244100093841553
2024-06-08,,,,,,,,,,,,,,,,,,,69305.7734375,3680.949951171875,,,,,,
2024-06-09,,,,,,,,,,,,,,,,,,,69647.9921875,3705.90380859375,,,,,,
2024-06-10,5360.7900390625,19074.669921875,38868.0390625,2701.169921875,39038.16015625,,,5016.47998046875,120760.0,23259.19921875,2307.699951171875,29.768999099731445,77.73999786376953,81.62999725341797,2.9059998989105225,4.55649995803833,451.75,607.5,69512.28125,3666.717529296875,105.1500015258789,1.0778882503509521,156.83299255371094,1379.050048828125,1.2729448080062866,7.246799945831299
2024-06-11,5375.31982421875,19210.1796875,38747.421875,2705.320068359375,39134.7890625,3028.044921875,18176.33984375,4965.08984375,121635.0,23264.849609375,2307.5,29.132999420166016,77.9000015258789,81.91999816894531,3.128999948501587,4.5229997634887695,449.5,626.5,67332.03125,3498.33056640625,105.2300033569336,1.0764262676239014,157.0399932861328,1373.9599609375,1.2726370096206665,7.246799945831299
